A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_40 15 41 16 106 65 10 25 100 122 1 112 106 19 13 64 172 36 6 6 45 285 78 21 50 72 9 12 24 6 49 87 22 81 4 2 446 224 33 39 78 22 31 2 11 9 76 20 59 79 9 2 442 0 2 1 501 182 180 6 41 3 2 14 0 36 53 66 40 18 53 32 61 37 81 38 75 82 40 54 73 101 0 43 50 298 62 216 58 42 55 55 36 38 26 33
ASV_41 39 26 16 55 37 39 33 21 51 67 48 35 125 62 38 64 70 0 83 105 72 69 9 0 73 51 20 22 31 30 125 12 0 62 97 0 0 0 30 41 31 18 144 26 0 51 44 0 49 187 132 47 13 60 14 33 75 96 131 73 70 56 59 31 40 94 60 61 0 139 57 65 79 93 42 168 82 165 88 78 56 100 61 71 109 0 57 83 109 66 101 83 77 0 120
ASV_42 0 0 0 61 81 61 27 7 46 78 10 11 41 137 154 103 24 0 18 34 54 135 35 22 8 0 60 51 223 17 99 28 125 112 28 0 0 100 10 100 473 42 33 0 27 163 51 0 0 203 0 92 0 40 124 76 297 53 36 67 0 43 40 40 50 118 69 0 0 85 109 172 0 142 33 78 101 30 58 51 36 145 52 84 39 0 40 70 0 81 0 52 33 37 138
ASV_43 0 0 53 172 0 0 0 0 237 19 0 0 0 0 68 113 0 126 0 81 0 0 0 30 57 472 0 0 0 66 30 125 44 49 0 0 0 0 0 0 0 0 0 96 0 20 102 26 0 85 0 181 0 148 0 0 136 276 69 448 34 0 229 0 354 39 82 172 40 114 0 121 114 170 0 138 0 10 0 20 0 58 40 19 33 23 70 28 0 0 444 178 231 0 10
ASV_44 39 17 31 10 23 21 38 15 22 63 36 31 52 68 55 3 20 83 28 10 10 17 13 18 26 3 35 14 16 11 48 11 23 31 9 420 28 22 71 29 30 26 37 298 156 38 28 284 662 18 24 14 47 23 0 96 6 43 89 12 0 20 52 42 122 40 56 43 42 47 38 46 49 41 37 57 84 25 61 42 28 56 71 48 72 35 32 30 33 43 54 48 38 48 45
ASV_45 42 26 28 45 19 59 38 33 17 56 34 41 115 51 13 35 58 31 19 34 98 60 22 55 20 36 4 177 59 42 46 7 32 543 395 0 28 91 0 113 57 46 5 35 0 85 61 0 0 71 147 12 6 21 7 70 48 49 60 4 105 38 76 66 20 109 55 64 59 79 47 52 48 49 48 94 50 46 70 79 70 59 80 60 55 27 52 56 62 67 63 68 92 52 57
ASV_46 96 0 0 93 25 0 0 23 79 31 0 32 137 0 26 0 0 0 59 0 0 34 0 139 0 30 0 148 0 0 0 0 60 12 0 0 0 0 0 38 22 12 32 139 803 18 19 0 0 0 82 78 23 0 0 70 0 80 170 0 0 0 0 102 298 0 521 76 0 0 0 53 0 0 43 0 490 0 37 0 0 0 73 0 30 174 0 0 0 0 0 0 0 0 0
ASV_47 332 0 0 548 0 199 668 79 263 0 246 152 2037 344 0 0 0 0 225 0 0 0 232 233 0 179 357 0 0 0 284 0 0 0 379 0 84 290 223 0 322 0 0 0 0 619 122 0 0 187 17 98 0 44 58 18 0 0 0 0 0 0 0 0 0 0 121 0 0 0 0 78 0 0 0 0 18 0 0 3 0 0 6 0 16 0 180 0 0 0 0 0 0 2 1
ASV_48 0 210 91 0 77 0 0 0 0 40 0 0 0 199 335 63 0 73 0 0 77 0 0 132 154 0 0 0 147 34 0 0 135 0 0 0 0 94 0 0 320 530 101 235 296 390 67 0 0 0 0 0 0 118 0 0 0 63 0 190 0 273 42 0 130 87 0 22 5 7 0 0 0 6 0 940 0 29 312 0 2 0 0 0 5 0 0 12 0 0 157 2 2 8 3
ASV_49 26 99 84 28 54 90 56 26 0 118 56 36 41 25 12 145 24 73 54 61 86 15 44 75 0 78 105 51 0 31 57 16 17 66 27 0 28 0 0 0 0 0 0 75 80 15 237 9 117 192 192 71 22 0 14 96 214 122 102 32 43 77 26 0 10 138 0 56 47 155 112 0 81 0 65 0 81 75 43 57 86 43 0 103 74 0 51 44 91 110 116 0 93 41 72
ASV_50 0 0 0 0 0 16 0 0 0 0 0 0 0 10 0 0 0 12 20 16 32 30 0 13 0 0 0 74 0 13 39 21 7 0 55 0 0 0 0 24 0 0 0 0 181 0 0 0 101 0 57 106 0 103 448 20 254 43 84 25 60 38 90 71 158 25 112 120 30 10 20 19 77 94 22 37 587 11 17 30 153 232 42 28 19 11 128 0 24 0 44 100 0 28 12
